timestamp,bucket,model_or_service,purpose,tokens_or_units,cost_usd,notes
2026-04-27T10:00:00Z,dataset_authoring,anthropic/claude-haiku-4-5,hard_seed_generation_63_seeds,189000,0.57,63 seeds x ~3000 tokens avg at $3/M input
2026-04-27T11:30:00Z,dataset_authoring,openrouter/qwen3-8b,variation_generation_189_tasks,378000,0.38,189 tasks x ~2000 tokens at $1/M via OpenRouter
2026-04-27T13:00:00Z,dataset_authoring,openrouter/qwen3-8b,judge_filter_189_tasks,94500,0.09,189 tasks x ~500 tokens per judge call
2026-04-27T15:00:00Z,dataset_authoring,anthropic/claude-haiku-4-5,sft_pair_generation_233_tasks,699000,0.07,233 tasks x ~3000 tokens at $0.10/M input rate
2026-04-28T09:00:00Z,training,google_colab_t4,lora_training_84_steps,0,0.00,Free tier - T4 16GB ~2 min wall time
2026-04-28T10:00:00Z,held_out_eval,anthropic/claude-haiku-4-5,ablation_baseline_inference_3_tasks,9000,0.00,3 tasks x ~3000 tokens; below billing threshold
2026-04-28T10:15:00Z,held_out_eval,anthropic/claude-haiku-4-5,ablation_trained_inference_3_tasks,9000,0.00,3 tasks x ~3000 tokens; below billing threshold
2026-04-28T10:30:00Z,held_out_eval,anthropic/claude-haiku-4-5,ablation_prompted_inference_3_tasks,9000,0.00,3 tasks x ~3000 tokens; below billing threshold
2026-04-28T11:00:00Z,held_out_eval,anthropic/claude-sonnet-4-6,tone_judge_demo_run_3_examples,3000,0.01,scoring_evaluator.py --demo; 3 examples x ~1000 tokens
2026-04-29T06:47:46Z,dataset_authoring,openrouter,multi_llm_synthesis_run_1,250000,0.50,OpenRouter synthesis run 1
2026-04-29T06:54:36Z,dataset_authoring,openrouter,multi_llm_synthesis_run_2,250000,0.50,OpenRouter synthesis run 2
2026-04-29T07:59:39Z,dataset_authoring,openrouter,multi_llm_synthesis_complete,0,0.00,Run complete; cost in rows above
